0 9999 <space> <space>
0 9999 . .
0 9999 , ,
0 9999 a a
0 1 a <eps>
1 10 a a
10 9999 <eps> a
1 11 b b
11 9999 <eps> a
1 12 c c
12 9999 <eps> a
1 13 d d
13 9999 <eps> a
1 14 e e
14 9999 <eps> a
1 15 f f
15 9999 <eps> a
1 16 g g
16 9999 <eps> a
1 17 h h
17 9999 <eps> a
1 18 i i
18 9999 <eps> a
1 19 j j
19 9999 <eps> a
1 110 k k
110 9999 <eps> a
1 111 l l
111 9999 <eps> a
1 112 m m
112 9999 <eps> a
1 113 n n
113 9999 <eps> a
1 114 o o
114 9999 <eps> a
1 115 p p
115 9999 <eps> a
1 116 q q
116 9999 <eps> a
1 117 r r
117 9999 <eps> a
1 118 s s
118 9999 <eps> a
1 119 t t
119 9999 <eps> a
1 120 u u
120 9999 <eps> a
1 121 v v
121 9999 <eps> a
1 122 w w
122 9999 <eps> a
1 123 x x
123 9999 <eps> a
1 124 y y
124 9999 <eps> a
1 125 z z
125 9999 <eps> a
0 9999 b b
0 2 b <eps>
2 20 a a
20 9999 <eps> b
2 21 b b
21 9999 <eps> b
2 22 c c
22 9999 <eps> b
2 23 d d
23 9999 <eps> b
2 24 e e
24 9999 <eps> b
2 25 f f
25 9999 <eps> b
2 26 g g
26 9999 <eps> b
2 27 h h
27 9999 <eps> b
2 28 i i
28 9999 <eps> b
2 29 j j
29 9999 <eps> b
2 210 k k
210 9999 <eps> b
2 211 l l
211 9999 <eps> b
2 212 m m
212 9999 <eps> b
2 213 n n
213 9999 <eps> b
2 214 o o
214 9999 <eps> b
2 215 p p
215 9999 <eps> b
2 216 q q
216 9999 <eps> b
2 217 r r
217 9999 <eps> b
2 218 s s
218 9999 <eps> b
2 219 t t
219 9999 <eps> b
2 220 u u
220 9999 <eps> b
2 221 v v
221 9999 <eps> b
2 222 w w
222 9999 <eps> b
2 223 x x
223 9999 <eps> b
2 224 y y
224 9999 <eps> b
2 225 z z
225 9999 <eps> b
0 9999 c c
0 3 c <eps>
3 30 a a
30 9999 <eps> c
3 31 b b
31 9999 <eps> c
3 32 c c
32 9999 <eps> c
3 33 d d
33 9999 <eps> c
3 34 e e
34 9999 <eps> c
3 35 f f
35 9999 <eps> c
3 36 g g
36 9999 <eps> c
3 37 h h
37 9999 <eps> c
3 38 i i
38 9999 <eps> c
3 39 j j
39 9999 <eps> c
3 310 k k
310 9999 <eps> c
3 311 l l
311 9999 <eps> c
3 312 m m
312 9999 <eps> c
3 313 n n
313 9999 <eps> c
3 314 o o
314 9999 <eps> c
3 315 p p
315 9999 <eps> c
3 316 q q
316 9999 <eps> c
3 317 r r
317 9999 <eps> c
3 318 s s
318 9999 <eps> c
3 319 t t
319 9999 <eps> c
3 320 u u
320 9999 <eps> c
3 321 v v
321 9999 <eps> c
3 322 w w
322 9999 <eps> c
3 323 x x
323 9999 <eps> c
3 324 y y
324 9999 <eps> c
3 325 z z
325 9999 <eps> c
0 9999 d d
0 4 d <eps>
4 40 a a
40 9999 <eps> d
4 41 b b
41 9999 <eps> d
4 42 c c
42 9999 <eps> d
4 43 d d
43 9999 <eps> d
4 44 e e
44 9999 <eps> d
4 45 f f
45 9999 <eps> d
4 46 g g
46 9999 <eps> d
4 47 h h
47 9999 <eps> d
4 48 i i
48 9999 <eps> d
4 49 j j
49 9999 <eps> d
4 410 k k
410 9999 <eps> d
4 411 l l
411 9999 <eps> d
4 412 m m
412 9999 <eps> d
4 413 n n
413 9999 <eps> d
4 414 o o
414 9999 <eps> d
4 415 p p
415 9999 <eps> d
4 416 q q
416 9999 <eps> d
4 417 r r
417 9999 <eps> d
4 418 s s
418 9999 <eps> d
4 419 t t
419 9999 <eps> d
4 420 u u
420 9999 <eps> d
4 421 v v
421 9999 <eps> d
4 422 w w
422 9999 <eps> d
4 423 x x
423 9999 <eps> d
4 424 y y
424 9999 <eps> d
4 425 z z
425 9999 <eps> d
0 9999 e e
0 5 e <eps>
5 50 a a
50 9999 <eps> e
5 51 b b
51 9999 <eps> e
5 52 c c
52 9999 <eps> e
5 53 d d
53 9999 <eps> e
5 54 e e
54 9999 <eps> e
5 55 f f
55 9999 <eps> e
5 56 g g
56 9999 <eps> e
5 57 h h
57 9999 <eps> e
5 58 i i
58 9999 <eps> e
5 59 j j
59 9999 <eps> e
5 510 k k
510 9999 <eps> e
5 511 l l
511 9999 <eps> e
5 512 m m
512 9999 <eps> e
5 513 n n
513 9999 <eps> e
5 514 o o
514 9999 <eps> e
5 515 p p
515 9999 <eps> e
5 516 q q
516 9999 <eps> e
5 517 r r
517 9999 <eps> e
5 518 s s
518 9999 <eps> e
5 519 t t
519 9999 <eps> e
5 520 u u
520 9999 <eps> e
5 521 v v
521 9999 <eps> e
5 522 w w
522 9999 <eps> e
5 523 x x
523 9999 <eps> e
5 524 y y
524 9999 <eps> e
5 525 z z
525 9999 <eps> e
0 9999 f f
0 6 f <eps>
6 60 a a
60 9999 <eps> f
6 61 b b
61 9999 <eps> f
6 62 c c
62 9999 <eps> f
6 63 d d
63 9999 <eps> f
6 64 e e
64 9999 <eps> f
6 65 f f
65 9999 <eps> f
6 66 g g
66 9999 <eps> f
6 67 h h
67 9999 <eps> f
6 68 i i
68 9999 <eps> f
6 69 j j
69 9999 <eps> f
6 610 k k
610 9999 <eps> f
6 611 l l
611 9999 <eps> f
6 612 m m
612 9999 <eps> f
6 613 n n
613 9999 <eps> f
6 614 o o
614 9999 <eps> f
6 615 p p
615 9999 <eps> f
6 616 q q
616 9999 <eps> f
6 617 r r
617 9999 <eps> f
6 618 s s
618 9999 <eps> f
6 619 t t
619 9999 <eps> f
6 620 u u
620 9999 <eps> f
6 621 v v
621 9999 <eps> f
6 622 w w
622 9999 <eps> f
6 623 x x
623 9999 <eps> f
6 624 y y
624 9999 <eps> f
6 625 z z
625 9999 <eps> f
0 9999 g g
0 7 g <eps>
7 70 a a
70 9999 <eps> g
7 71 b b
71 9999 <eps> g
7 72 c c
72 9999 <eps> g
7 73 d d
73 9999 <eps> g
7 74 e e
74 9999 <eps> g
7 75 f f
75 9999 <eps> g
7 76 g g
76 9999 <eps> g
7 77 h h
77 9999 <eps> g
7 78 i i
78 9999 <eps> g
7 79 j j
79 9999 <eps> g
7 710 k k
710 9999 <eps> g
7 711 l l
711 9999 <eps> g
7 712 m m
712 9999 <eps> g
7 713 n n
713 9999 <eps> g
7 714 o o
714 9999 <eps> g
7 715 p p
715 9999 <eps> g
7 716 q q
716 9999 <eps> g
7 717 r r
717 9999 <eps> g
7 718 s s
718 9999 <eps> g
7 719 t t
719 9999 <eps> g
7 720 u u
720 9999 <eps> g
7 721 v v
721 9999 <eps> g
7 722 w w
722 9999 <eps> g
7 723 x x
723 9999 <eps> g
7 724 y y
724 9999 <eps> g
7 725 z z
725 9999 <eps> g
0 9999 h h
0 8 h <eps>
8 80 a a
80 9999 <eps> h
8 81 b b
81 9999 <eps> h
8 82 c c
82 9999 <eps> h
8 83 d d
83 9999 <eps> h
8 84 e e
84 9999 <eps> h
8 85 f f
85 9999 <eps> h
8 86 g g
86 9999 <eps> h
8 87 h h
87 9999 <eps> h
8 88 i i
88 9999 <eps> h
8 89 j j
89 9999 <eps> h
8 810 k k
810 9999 <eps> h
8 811 l l
811 9999 <eps> h
8 812 m m
812 9999 <eps> h
8 813 n n
813 9999 <eps> h
8 814 o o
814 9999 <eps> h
8 815 p p
815 9999 <eps> h
8 816 q q
816 9999 <eps> h
8 817 r r
817 9999 <eps> h
8 818 s s
818 9999 <eps> h
8 819 t t
819 9999 <eps> h
8 820 u u
820 9999 <eps> h
8 821 v v
821 9999 <eps> h
8 822 w w
822 9999 <eps> h
8 823 x x
823 9999 <eps> h
8 824 y y
824 9999 <eps> h
8 825 z z
825 9999 <eps> h
0 9999 i i
0 9 i <eps>
9 90 a a
90 9999 <eps> i
9 91 b b
91 9999 <eps> i
9 92 c c
92 9999 <eps> i
9 93 d d
93 9999 <eps> i
9 94 e e
94 9999 <eps> i
9 95 f f
95 9999 <eps> i
9 96 g g
96 9999 <eps> i
9 97 h h
97 9999 <eps> i
9 98 i i
98 9999 <eps> i
9 99 j j
99 9999 <eps> i
9 910 k k
910 9999 <eps> i
9 911 l l
911 9999 <eps> i
9 912 m m
912 9999 <eps> i
9 913 n n
913 9999 <eps> i
9 914 o o
914 9999 <eps> i
9 915 p p
915 9999 <eps> i
9 916 q q
916 9999 <eps> i
9 917 r r
917 9999 <eps> i
9 918 s s
918 9999 <eps> i
9 919 t t
919 9999 <eps> i
9 920 u u
920 9999 <eps> i
9 921 v v
921 9999 <eps> i
9 922 w w
922 9999 <eps> i
9 923 x x
923 9999 <eps> i
